ID,Effective Diameter [m],Dispersion [m],Aspect Ratio,f Larger than D,n Larger than D,No. of Craters
259,12.07,0,1,1,1,1
1196,6.71,0,1,1,1,1
358,5.83,0,1,1,1,1
687,3.81,0,1,1,1,1
944,17.5,0,1,1,1,1
132,11,0,1,1,1,1
1088,10.58,0,1,1,1,1
779,6.55,0,1,1,1,1
507,2.34,0,1,1,1,1
525,4.4,0,1,1,1,1
726,3.73,0,1,1,1,1
737,7.81,0,1,1,1,1
1075,3.65,0,1,1,1,1
1239,4.86,0,1,1,1,1
379,4.85,0,1,1,1,1
680,4.34,0,1,1,1,1
1176,2.16,0,1,1,1,1
696,6.45,0,1,1,1,1
511,15.95,0,1,1,1,1
415,2.67,0,1,1,1,1
159,2.91,0,1,1,1,1
159,2.91,0,1,1,1,1
110,15,0,1,1,1,1
494,17.54,0,1,1,1,1
752,9.72,0,1,1,1,1
1206,11.76,0,1,1,1,1
566,4,0,1,1,1,1
1156,2.51,0,1,1,1,1
808,3.76,0,1,1,1,1
426,6.1,0,1,1,1,1
1232,6.66,0,1,1,1,1
400,3.7,0,1,1,1,1
871,5.56,0,1,1,1,1
646,6.19,0,1,1,1,1
1240,4.53,0,1,1,1,1
