ID,Aspect Ratio,CSFD exponent,Dispersion [m],Effective Diameter [m],Large Crater Fraction,Maximum Diameter [m],Median Diameter [m],Minimum Diameter [m],No. of Craters,No. of Large Craters
PSP_005579_2060,0.71895629,-1.331702697,84.37154262,21.66118877,0.015151515,18.96,1.375,1,66,1
PSP_005942_1825,0.341126754,-1.724502992,269.7308818,33.48646464,0.012605042,24.379362,1.986002,1.009132,238,3
PSP_006758_2050,0.610923241,-1.591716518,34.12324874,15.36466907,0.152542373,8.93,2.16,1.11,59,9
PSP_007009_1905,0.23400312,-1.856767569,509.0924615,20.77768119,0.033149171,12.9,1.9,0.919,181,6
PSP_007036_1765,0.708433892,-1.916428591,191.4024989,17.51711326,0.020833333,12.86,1.31,1,192,4
PSP_007183_1850,0.53166272,-1.81146391,101.3994996,12.05571593,0.340425532,6.36,2.37,1.02,47,16
PSP_007246_1890,1,0,26.49566405,5.125699179,0.333333333,5.075443268,1.34022522,1.148532867,3,1
PSP_007272_1945,1,0,16.900964,16.02429137,0.5,15.95906448,9.822066307,3.68506813,2,1
PSP_007378_1860,0.527004605,-1.664292562,758.9301402,12.57722226,0.13559322,7.69,1.7,1,59,8
PSP_007496_1735,1,0,63.94785187,2.091012002,1,1.51,1.31,1.04,4,4
PSP_007499_1810,0.735864804,-1.984438662,216.8569812,37.32664487,0.006868132,23.6417141,1.761753082,1.005018234,728,5
PSP_007596_1295,0.078134125,-1.510393482,145.486552,3.364071757,0.4,3.0138,1.39543,1.005417,5,2
PSP_007773_1930,0.545887615,-3.408810962,104.7445083,7.347254495,1,5.06,3.435,2.72,8,8
PSP_008015_2205,0.856686935,-1.998055666,364.0080679,9.282572806,0.048780488,7.86,1.41,1.01,41,2
PSP_008045_2020,1,0,58.78260309,4.207191252,0.75,3.68,2.1,1.81,4,3
PSP_008236_2180,1,0,79.05800529,5.125676751,0.25,5.07,1.17,1,4,1
PSP_008300_1905,0.390119673,-0.771634806,114.0917908,6.310597951,0.2,6.25,1.22,1.04,5,1
PSP_009185_1770,0.380297568,-1.596392353,52.25866503,10.12066938,0.2,6.477655,2.4343235,1.070108,30,6
PSP_009265_1730,0.755191897,-1.303992348,91.163706,36.19538596,0.018181818,34.45562363,2.613500595,0.847290039,55,1
PSP_009305_1830,0.449024554,-2.421265015,216.526024,7.391673304,0.385964912,3.27,1.35,1.01,57,22
PSP_009978_2265,0.490640241,-1.793555046,148.5750686,7.556392917,0.384615385,4.667059,1.775603,1.048086,26,10
PSP_010177_1850,0.227704841,-2.557065658,70.73377759,3.592731683,0.6,2.68,1.44,1.05,10,6
PSP_010200_1805,0.474747596,-1.635846915,154.0101381,8.60310845,0.225806452,5.265375,1.501492,1.002769,31,7
PSP_010255_1700,0.143394608,-1.418444678,43.21451282,3.678454847,0.2,3.378304,1.424513,1.077635,5,1
PSP_010292_1785,0.583192313,-1.908401338,121.6907165,12.34390896,0.084210526,7.070868,1.45903,1.000586,95,8
PSP_010319_1780,0.459450412,-2.055612781,66.13976452,6.21076713,0.47826087,3.81,1.81,1.01,23,11
PSP_010528_1770,0.320812735,-2.240526143,36.46927415,3.620548791,0.272727273,2.86,1.12,1.03,11,3
PSP_010585_2255,0.391698569,-1.255538883,28.81416449,5.73072555,0.125,5.510349,1.4787075,1.075237,8,1
PSP_010621_1960,0.354099264,-1.579212019,55.22374095,5.347506871,0.333333333,4.76,2.17,1.44,6,2
PSP_010625_2360,0.274920808,-2.312544364,58.34374657,6.408858093,0.7,4.366718,2.6454565,1.673172,10,7
PSP_010634_2135,0.197803715,-1.150561875,22.62044686,6.303304439,0.375,5.31,1.61,1.19,8,3
PSP_010635_1780,1,0,16.35654596,6.510890844,0.5,6.494507,3.885338,1.276169,2,1
